"2022-11-30 22:27:52pm "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '129' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop?category=kids-boys&cid=37"
"2022-11-30 22:27:52pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '129') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129 "," R: http://localhost/MultiVendor/shop?category=kids-boys&cid=37"
"2022-11-30 22:27:54pm "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '130' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-11-30 22:27:54pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '130') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130 "," R: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-4y-5y-vnky8c75-129"
"2022-11-30 22:27:56pm "," update "," UPDATE product_details SET `view_count` = 5 WHERE 1=1  and product_id = '131' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-9y-10y-vnky8c75-131 "," R: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130"
"2022-11-30 22:27:56pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '131') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-9y-10y-vnky8c75-131 "," R: http://localhost/MultiVendor/product-detail/boys-pack-of-3-mickey-mouse-donald-duck-goofy-printed-t-shirts-5y-7y-vnky8c75-130"
"2022-11-30 22:28:48pm "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-11-30 22:28:48pm "," insert "," INSERT INTO recent_view(`customer_id`, `product_id`) VALUES('1', '1') "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/shop?category=men-topwear&cid=4"
"2022-11-30 22:28:52pm "," insert "," INSERT INTO customer_cart(`customer_id`, `product_id`, `quantity`, `elements_attributes`) VALUES('1', '1', '1', '{""1"":""1"",""2"":""11""}') "," ::1 "," URL: http://localhost/MultiVendor/Home/addtocart "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
"2022-11-30 22:28:52pm "," update "," UPDATE product_details SET `view_count` = 17 WHERE 1=1  and product_id = '1' "," ::1 "," URL: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1 "," R: http://localhost/MultiVendor/product-detail/men-white-pure-cotton-t-shirt-s-white-vnky8c75-1"
