"2023-01-23 23:30:33pm "," update "," UPDATE product_details SET `view_count` = 11 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:30:33pm "," update "," UPDATE product_details SET `view_count` = 12 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:30:33pm "," update "," UPDATE product_details SET `view_count` = 13 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:30:34pm "," update "," UPDATE product_details SET `view_count` = 14 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:30:34pm "," update "," UPDATE product_details SET `view_count` = 15 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:31:50pm "," update "," UPDATE product_details SET `view_count` = 16 WHERE 1=1  and product_id = '103' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-yellow-embellished-high-low-longline-top-s-yellow-vnky8c75-103 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:31:59pm "," update "," UPDATE product_details SET `view_count` = 212 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:32:23pm "," update "," UPDATE product_details SET `view_count` = 82 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:33:11pm "," update "," UPDATE product_details SET `view_count` = 213 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:33:18pm "," update "," UPDATE product_details SET `view_count` = 83 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:39:47pm "," update "," UPDATE product_details SET `view_count` = 214 WHERE 1=1  and product_id = '118' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/women-maroon-solid-straight-kurta-m-maroon-vnky8c75-118 "," R: http://localhost/EthnicWear/shop"
"2023-01-23 23:39:56pm "," update "," UPDATE product_details SET `view_count` = 84 WHERE 1=1  and product_id = '115' "," ::1 "," URL: http://localhost/EthnicWear/product-detail/black-grey-hand-block-print-legacy-pure-cotton-sustainable-top-with-mirror-work-contrast-print-s-bla "," R: http://localhost/EthnicWear/shop"
